journal_name,pub_name,journal_id,price,price_date_stamp,category
BMC Emergency Medicine,BioMed Central Ltd,1471-227X,1845,2012-01-01,NA
BMC Endocrine Disorders,BMC-Springer,1472-6823,1845,2012-01-01,MEDICINE
BMC EVOLUTIONARY BIOLOGY,Biomed Central,1471-2148,1845,2012-01-01,ECOLOGY AND EVOLUTION
BMC Family Practice,Biomed Central,1471-2296,1845,2012-01-01,MEDICINE
BMC GASTROENTEROLOGY,Biomed Central,1471-230X,1845,2012-01-01,GASTROENTEROLOGY
BMC GENETICS,Biomed Central,1471-2156,1845,2012-01-01,MOLECULAR AND CELL BIOLOGY
BMC GENOMICS,Biomed Central,1471-2164,1845,2012-01-01,MOLECULAR AND CELL BIOLOGY
BMC Geriatrics,BMC-Springer,1471-2318,1845,2012-01-01,MEDICINE
BMC HEALTH SERVICES RESEARCH,Biomed Central,1472-6963,1845,2012-01-01,MEDICINE
BMC IMMUNOLOGY,Biomed Central,1471-2172,1845,2012-01-01,MOLECULAR AND CELL BIOLOGY
BMC INFECTIOUS DISEASES,Biomed Central,1471-2334,1845,2012-01-01,INFECTIOUS DISEASES
BMC International Health and Human Rights,BMC-Springer,1472-698X,1845,2012-01-01,MEDICINE
BMC MEDICAL EDUCATION,Biomed Central,1472-6920,1845,2012-01-01,MEDICINE
BMC Medical Ethics,BMC-Springer,1472-6939,1845,2012-01-01,MEDICINE
BMC Medical Genetics,Biomed Central,1471-2350,1845,2012-01-01,MOLECULAR AND CELL BIOLOGY
BMC Medical Genomics,Biomed Central,1755-8794,1845,2012-01-01,MOLECULAR AND CELL BIOLOGY
BMC Medical Imaging,BioMed Central Ltd,1471-2342,1845,2012-01-01,RADIOLOGY
BMC Medical Informatics and Decision Making,Biomed Central,1472-6947,1845,2012-01-01,MEDICINE
BMC Medical Physics,BioMed Central Ltd,1756-6649,1845,2012-01-01,NA
BMC Medical Research Methodology,Biomed Central,1471-2288,1845,2012-01-01,MEDICINE
BMC Medicine,Biomed Central,1741-7015,2190,2012-01-01,MEDICINE
BMC MICROBIOLOGY,Biomed Central,1471-2180,1845,2012-01-01,MOLECULAR AND CELL BIOLOGY
BMC MOLECULAR BIOLOGY,Biomed Central,1471-2199,1845,2012-01-01,MOLECULAR AND CELL BIOLOGY
BMC MUSCULOSKELETAL DISORDERS,Biomed Central,1471-2474,1845,2012-01-01,ORTHOPEDICS
BMC NEPHROLOGY,Biomed Central,1471-2369,1845,2012-01-01,NEPHROLOGY
BMC Neurology,Biomed Central,1471-2377,1845,2012-01-01,NEUROSCIENCE
BMC NEUROSCIENCE,Biomed Central,1471-2202,1845,2012-01-01,NEUROSCIENCE
BMC Nursing,BioMed Central Ltd,1472-6955,1845,2012-01-01,NA
BMC OPHTHALMOLOGY,Biomed Central,1471-2415,1845,2012-01-01,OPHTHALMOLOGY
BMC Oral Health,BMC-Springer,1472-6831,1845,2012-01-01,DENTISTRY
BMC Palliative Care,BMC-Springer,1472-684X,1845,2012-01-01,MEDICINE
BMC PEDIATRICS,Biomed Central,1471-2431,1845,2012-01-01,MEDICINE
BMC Pharmacology,BioMed Central Ltd,1471-2210,1845,2012-01-01,NA
BMC Physiology,BioMed Central Ltd,1472-6793,1845,2012-01-01,NA
BMC PLANT BIOLOGY,Biomed Central,1471-2229,1845,2012-01-01,PLANT BIOLOGY
BMC Pregnancy and Childbirth,BMC-Springer,1471-2393,1845,2012-01-01,MEDICINE
BMC Proceedings,BioMed Central Ltd,1753-6561,0,2012-01-01,NA
BMC Psychiatry,Biomed Central,1471-244X,1845,2012-01-01,PSYCHIATRY
BMC PUBLIC HEALTH,Biomed Central,1471-2458,1845,2012-01-01,MEDICINE
BMC Pulmonary Medicine,BMC-Springer,1471-2466,1845,2012-01-01,MEDICINE
BMC Research Notes,BMC-Springer,1756-0500,935,2012-01-01,NA
BMC STRUCTURAL BIOLOGY,Biomed Central,1472-6807,1845,2012-01-01,NA
BMC Surgery,BMC-Springer,1471-2482,1845,2012-01-01,GASTROENTEROLOGY
BMC Systems Biology,Biomed Central,1752-0509,1845,2012-01-01,MOLECULAR AND CELL BIOLOGY
BMC Urology,BMC-Springer,1471-2490,1845,2012-01-01,UROLOGY
BMC VETERINARY RESEARCH,Biomed Central,1746-6148,1845,2012-01-01,VETERINARY
BMC Womens Health,BMC-Springer,1472-6874,1845,2012-01-01,MEDICINE
BMJ Open,BioMed Central Ltd,2044-6055,1860,2012-01-01,MEDICINE
Bone Marrow Research,Hindawi,2090-3006,500,2012-01-01,NA
BOREAL ENVIRONMENT RESEARCH,FINNISH ENVIRONMENT INST,1797-2469,0,2012-01-01,NA
Bosnian Journal of Basic Medical Sciences,Self Owned - Non-Profit Society,1840-4812,190,2012-01-01,NA
Botanical Studies,Academia Sinica,1817-406x,0,2012-01-01,NA
Boundary Value Problems,Springer,1687-2770,670,2012-01-01,NA
Brain and Behavior,Wiley,2162-3279,2500,2012-01-01,NA
BRAZILIAN JOURNAL OF BIOLOGY,SciELO,1678-4375,0,2012-01-01,NA
BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,BRAZILIAN SOC CHEMICAL ENG,1678-4383,0,2012-01-01,NA
Brazilian Journal of Infectious Diseases,Self Owned - Non-Profit Society,1678-4391,0,2012-01-01,NA
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,ASSOC BRAS DIVULG CIENTIFICA,1414-431X,800,2012-01-01,NA
BRAZILIAN JOURNAL OF MICROBIOLOGY,Sociedade Brasileira de Microbiologia,1678-4405,0,2012-01-01,NA
BRAZILIAN JOURNAL OF OCEANOGRAPHY,Self Owned - Non-Profit Society,1982-436X,0,2012-01-01,NA
BRAZILIAN JOURNAL OF PHYSICS,SPRINGER,0103-9733,0,2012-01-01,PHYSICS AND CHEMISTRY
Breast Cancer ,Dove Press,1179-1314,1695,2012-01-01,NA
Breast Cancer Research,BioMed Central Ltd,1465-5411,1845,2012-01-01,ONCOLOGY
BREEDING SCIENCE,JAPANESE SOC BREEDING,1347-3735,0,2012-01-01,NA
BUFFALO LAW REVIEW,UNIV BUFFALO STATE UNIV NEW YORK,0023-9356,0,2012-01-01,LAW
KLINIK PSIKOFARMAKOLOJI BULTENI-BULLETIN OF CLINICAL PSYCHOPHARMACOLOGY,Self Owned - Non-Profit Society,1302-9657,0,2012-01-01,NA
BULLETIN OF GEOSCIENCES,Self Owned - Non-Profit Society,1802-8225,0,2012-01-01,NA
BULLETIN OF MATERIALS SCIENCE,SPRINGER,0973-7669,0,2012-01-01,NA
Bulletin of Mathematical Sciences,Springer,1664-3615,0,2012-01-01,NA
BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,AMER MATHEMATICAL SOC,1088-9485,0,2012-01-01,NA
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,AMER METEOROLOGICAL SOC,1520-0477,0,2012-01-01,NA
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,AMER MUSEUM NATURAL HISTORY,0003-0090,0,2012-01-01,ECOLOGY AND EVOLUTION
BULLETIN OF THE KOREAN CHEMICAL SOCIETY,KOREAN CHEMICAL SOC,1229-5949,0,2012-01-01,NA
Bulletin of the Polish Academy of Sciences-Technical Sciences,Polish Academy of Sciences,0239-7528,0,2012-01-01,ROBOTICS
BULLETIN OF THE WORLD HEALTH ORGANIZATION,WORLD HEALTH ORGANIZATION,0042-9686,0,2012-01-01,MEDICINE
CA-A CANCER JOURNAL FOR CLINICIANS,American cancer society,1542-4863,0,2012-01-01,NA
Cadernos de Saude Publica,Self Owned - Non-Profit Society,1678-4464,0,2012-01-01,NA
CALIFORNIA AGRICULTURE,Self Owned - Non-Profit Society,2160-8091,0,2012-01-01,NA
CANADIAN JOURNAL OF SURGERY,CMA MEDIA INC,1488-2310,0,2012-01-01,NA
Cancer Cell International,BioMed Central Ltd,1475-2867,1780,2012-01-01,MOLECULAR AND CELL BIOLOGY
Cancers,MDPI,2072-6694,268,2012-01-01,NA
Carbon Balance and Management,Springer,1750-0680,1625,2012-01-01,NA
Cardiology Research and Practice,Hindawi,2090-0597,1000,2012-01-01,NA
Cardiovascular Diabetology,Biomed Central,1475-2840,1835,2012-01-01,MEDICINE
CARDIOVASCULAR ULTRASOUND,Biomed Central,1476-7120,1625,2012-01-01,MEDICINE
Cases Journal,BioMed Central Ltd,1757-1626,1625,2012-01-01,NA
CBE-LIFE SCIENCES EDUCATION,AMER SOC CELL BIOLOGY,1536-7509,0,2012-01-01,NA
Cell & Bioscience,BioMed Central Ltd,2045-3701,1625,2012-01-01,MOLECULAR AND CELL BIOLOGY
Cell & Chromosome,BioMed Central Ltd,1475-9268,1625,2012-01-01,NA
Cell Communication and Signaling,BioMed Central Ltd,1478-811X,1740,2012-01-01,MOLECULAR AND CELL BIOLOGY
Cell Death & Disease,Nature Publishing Group,2041-4889,3000,2012-01-01,MOLECULAR AND CELL BIOLOGY
CELL DIVISION,Biomed Central,1747-1028,1780,2012-01-01,MOLECULAR AND CELL BIOLOGY
Cell Structure and Function,Japan Society for Cell Biology,1347-3700,0,2012-01-01,NA
CENTRO JOURNAL,HUNTER COLLEGE-CUNY CENTER PUERTO RICAN STUDIES,1538-6279,0,2012-01-01,NA
Chalcogenide Letters,Self Owned - Non-Profit Society,1584-8663,210,2012-01-01,PHYSICS AND CHEMISTRY
CHEMICAL & PHARMACEUTICAL BULLETIN,Pharmaceutical Society of Japan,1347-5223,0,2012-01-01,NA
CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,Self Owned - Non-Profit Society,0352-9568,0,2012-01-01,NA
CHEMICAL ENGINEERING PROGRESS,AMER INST CHEMICAL ENGINEERS,0360-7275,0,2012-01-01,NA
CHEMICAL INDUSTRY & CHEMICAL ENGINEERING QUARTERLY,KoBSON,1451-9372,0,2012-01-01,NA
Chemistry Central Journal,Springer,1752-153X,810,2012-01-01,FOOD SCIENCE
Chemistry Education Research and Practice,Royal Soc of Chemistry,1109-4028,0,2012-01-01,EDUCATION
ChemistryOpen,Wiley,2191-1363,3000,2012-01-01,PHYSICS AND CHEMISTRY
Child and Adolescent Psychiatry and Mental Health,BioMed Central Ltd,1753-2000,1625,2012-01-01,NA
Chinese Journal of Geophysics,Chinese Geophysical Society,0898-9591,0,2012-01-01,NA
CHINESE JOURNAL OF PHYSICS,Self Owned - Non-Profit Society,1741-3540,0,2012-01-01,NA
Chinese Medicine,BioMed Central Ltd,1749-8546,0,2012-01-01,FOOD SCIENCE
CHINESE SCIENCE BULLETIN,SPRINGER,1861-9541,0,2012-01-01,NA
Chiropractic & Manual Therapies,BioMed Central Ltd,2045-709X,0,2012-01-01,NA
CIENCIAS MARINAS,Self Owned - Non-Profit Society,0185-3880,0,2012-01-01,ECOLOGY AND EVOLUTION
CIRCULATION JOURNAL,JAPANESE CIRCULATION SOCIETY,1347-4820,0,2012-01-01,NA
CLEVELAND CLINIC JOURNAL OF MEDICINE,Self Owned - Non-Profit Society,1939-2869,0,2012-01-01,NA
Climate of the Past,EUROPEAN  GEOSCIENCES UNION,1814-9332,0,2012-01-01,NA
Clinical & Developmental Immunology,Hindawi,1740-2530,1500,2012-01-01,NA
Clinical and investigative medicine,Canadian Medical Association,0147-958X,0,2012-01-01,MEDICINE
Clinical and Molecular Allergy,BioMed Central Ltd,1476-7961,1625,2012-01-01,NA
Clinical and Translational Allergy,BioMed Central Ltd,2045-7022,1780,2012-01-01,NA
Clinical Epigenetics,BioMed Central Ltd,1868-7083,2190,2012-01-01,MOLECULAR AND CELL BIOLOGY
Clinical Practice and Epidemiology in Mental Health,BioMed Central Ltd,1745-0179,1625,2012-01-01,NA
Clinical Proteomics,BioMed Central Ltd,1559-0275,1625,2012-01-01,NA
Clinical Sarcoma Research,BioMed Central Ltd,2045-3329,1625,2012-01-01,NA
Clinics,Self Owned - Non-Profit Society,1980-5322,1000,2012-01-01,NA
COLLEGE & RESEARCH LIBRARIES,ASSOC COLL RESEARCH LIBRARIES,2150-6701,0,2012-01-01,NA
Communications in Mobile Computing,Springer,2192-1121,0,2012-01-01,NA
International Journal of Genomics,Hindawi,1532-6268,1500,2012-01-01,NA
Comparative Hepatology,BioMed Central Ltd,1476-5926,1625,2012-01-01,NA
Computational and Mathematical Methods in Medicine,Hindawi,1748-6718,1200,2012-01-01,NA
COMPUTATIONAL LINGUISTICS,M I T PRESS,1530-9312,0,2012-01-01,NA
COMPUTER COMMUNICATION REVIEW,ASSOC COMPUTING MACHINERY,0146-4833,0,2012-01-01,NA
Comunicar,Self Owned - Unknown Profit Status,1988-3293,0,2012-01-01,NA
Condensed Matter Physics,Self Owned - Non-Profit Society,1607-324X,0,2012-01-01,PHYSICS AND CHEMISTRY
Conflict and Health,BioMed Central Ltd,1752-1505,1625,2012-01-01,NA
Wspolczesna Onkologia-Contemporary Oncology,Self Owned - Non-Profit Society,1897-4309,0,2012-01-01,NA
CONTRIBUTIONS TO ZOOLOGY,Self Owned - Non-Profit Society,1875-9866,0,2012-01-01,NA
Convergencia,Autonomous University of the State of Mexico,1405-1435,0,2012-01-01,POLITICAL SCIENCE
Cost Effectiveness and Resource Allocation,BioMed Central Ltd,1478-7547,1625,2012-01-01,NA
Cough,BioMed Central Ltd,1745-9974,1625,2012-01-01,NA
Critical Care,BioMed Central Ltd,1364-8535,1845,2012-01-01,NA
Critical Ultrasound Journal,Springer,2036-3176,0,2012-01-01,NA
CROATIAN MEDICAL JOURNAL,MEDICINSKA NAKLADA,1332-8166,0,2012-01-01,NA
Crop Breeding and Applied Biotechnology,Self Owned - Non-Profit Society,1984-7033,0,2012-01-01,NA
CRYOSPHERE,Copernicus Group,1994-0424,0,2012-01-01,NA
CUAJ-Canadian Urological Association Journal,Self Owned - Non-Profit Society,1911-6470,0,2012-01-01,UROLOGY
CURRENT ISSUES IN MOLECULAR BIOLOGY,HORIZON SCIENTIFIC PRESS,1467-3037,1350,2012-01-01,MOLECULAR AND CELL BIOLOGY
CURRENT ONCOLOGY,MULTIMED INC,1718-7729,0,2012-01-01,NA
Cytojournal,Medknow,1742-6413,1625,2012-01-01,NA
CZECH JOURNAL OF ANIMAL SCIENCE,INST AGRICULTURAL FOOD INFORMATION,1212-1819,0,2012-01-01,VETERINARY
CZECH JOURNAL OF FOOD SCIENCES,Self Owned - Non-Profit Society,1212-1800,0,2012-01-01,FOOD SCIENCE
DANISH MEDICAL BULLETIN,DANISH MEDICAL ASSN,1603-9629,0,2012-01-01,NA
DARU-JOURNAL OF FACULTY OF PHARMACY,Tehran University of Medical Sciences (TUMS) Publications,2008-2231,0,2012-01-01,NA
Database: The Journal of Biological Databases and Curation,Oxford University Press,1758-0463,1600,2012-01-01,MOLECULAR AND CELL BIOLOGY
DEFENCE SCIENCE JOURNAL,DEFENCE SCIENTIFIC INFORMATION DOCUMENTATION CENTRE,0976-464X,0,2012-01-01,NA
Demographic Research,Max Planck Inst,1435-9871,0,2012-01-01,SOCIOLOGY
Dendrobiology,Polish Academy of Sciences,1641-1307,0,2012-01-01,ECOLOGY AND EVOLUTION
Diabetology & Metabolic Syndrome,Biomed Central,1758-5996,1625,2012-01-01,MEDICINE
Diagnostic and Interventional Radiology,Self Owned - Non-Profit Society,1305-3825,0,2012-01-01,RADIOLOGY
Diagnostic Pathology,Biomed Central,1746-1596,1625,2012-01-01,ONCOLOGY
Discrete Dynamics in Nature and Society,Hindawi,1607-887X,800,2012-01-01,NA
Disease Models & Mechanisms,COMPANY OF BIOLOGISTS LTD,1754-8411,2090,2012-01-01,NA
Diversity ,MDPI,1424-2818,320,2012-01-01,NA
DNA RESEARCH,Oxford,1756-1663,500,2012-01-01,NA
Documenta Mathematica,Self Owned - Non-Profit Society,1431-0643,0,2012-01-01,MATHEMATICS
Drug Metabolism and Pharmacokinetics,Self Owned - Non-Profit Society,1880-0920,0,2012-01-01,NA
DRUGS IN R&D,ADIS International,1179-6901,3000,2012-01-01,NA
Dynamic Medicine,BioMed Central Ltd,1476-5918,1625,2012-01-01,NA
Dynamics of Partial Differential Equations,International Press,2163-7873,0,2012-01-01,NA
E-POLYMERS,EUROPEAN POLYMER FEDERATION,1618-7229,0,2012-01-01,PHYSICS AND CHEMISTRY
Earth Sciences Research Journal,Universidad Nacional de Colombia,1794-6190,0,2012-01-01,NA
Ecological Processes,Springer,2192-1709,1070,2012-01-01,NA
Ecology and Evolution,Wiley,2045-7758,1850,2012-01-01,ECOLOGY AND EVOLUTION
ECOLOGY AND SOCIETY,RESILIENCE ALLIANCE,1708-3087,0,2012-01-01,NA
ECOLOGY LAW QUARTERLY,Univ Calif Press,0046-1121,0,2012-01-01,LAW
Econ Journal Watch,Self Owned - Non-Profit Society,1933-527X,0,2012-01-01,ECONOMICS
ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL ,Kiel Institute for World Economy,1864-6042,0,2012-01-01,ECONOMICS
Ecosphere,Wiley,2150-8925,1500,2012-01-01,ECOLOGY AND EVOLUTION
EDUCATIONAL TECHNOLOGY & SOCIETY,IEEE,1436-4522,0,2012-01-01,EDUCATION
eHealth International,BioMed Central Ltd,1476-3591,1625,2012-01-01,NA
EJNMMI Research,Springer,2191-219X,1470,2012-01-01,NA
ELECTROCHEMISTRY,ELECTROCHEMICAL SOC JAPAN,2186-2451,0,2012-01-01,NA
ELECTRONIC COMMUNICATIONS IN PROBABILITY,Self Owned - Non-Profit Society,1083-589X,0,2012-01-01,MATHEMATICS
ELECTRONIC JOURNAL OF COMBINATORICS,Self Owned - Non-Profit Society,1077-8926,0,2012-01-01,COMPUTER SCIENCE
Electronic Journal of Linear Algebra,Self Owned - Non-Profit Society,1081-3810,0,2012-01-01,MATHEMATICS
ELECTRONIC JOURNAL OF PROBABILITY,Self Owned - Non-Profit Society,1083-6489,0,2012-01-01,MATHEMATICS
Electronic Journal of Qualitative Theory of Differential Equations,Self Owned - Non-Profit Society,1417-3875,0,2012-01-01,MATHEMATICS
ELECTRONIC JOURNAL OF STATISTICS,INST MATHEMATICAL STATISTICS,1935-7524,0,2012-01-01,NA
Electronic Research Announcements in Mathematical Sciences,AMER MATHEMATICAL SOC,1079-6762,0,2012-01-01,NA
ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS,KENT STATE UNIVERSITY,1068-9613,0,2012-01-01,MATHEMATICS
EMERGING INFECTIOUS DISEASES,CENTER DISEASE CONTROL,1080-6040,0,2012-01-01,INFECTIOUS DISEASES
Emerging Themes in Epidemiology,BioMed Central Ltd,1742-7622,1625,2012-01-01,NA
ENDOCRINE JOURNAL,JAPAN ENDOCRINE SOCIETY,1348-4540,0,2012-01-01,NA
Energy Sustainability and Society,Springer,2192-0567,1070,2012-01-01,NA
ENGINEERING APPLICATIONS OF COMPUTATIONAL FLUID MECHANICS,University published non-profit,1997-003X,0,2012-01-01,NA
English Teaching-Practice and Critique,Self Owned - Non-Profit Society,1175-8708,0,2012-01-01,EDUCATION
ENTROPY,MOLECULAR DIVERSITY PRESERVATION INTERNATIONAL,1099-4300,1070,2012-01-01,PHYSICS AND CHEMISTRY
Environmental Health,Biomed Central,1476-069X,1700,2012-01-01,ENVIRONMENTAL HEALTH
ENVIRONMENTAL HEALTH PERSPECTIVES,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,0091-6765,0,2012-01-01,ENVIRONMENTAL HEALTH
Environmental Research Letters,IOP,1748-9326,1600,2012-01-01,NA
Environmental Sciences Europe,Springer,2190-4715,1070,2012-01-01,NA
Enzyme Research,Hindawi,2090-0414,1000,2012-01-01,NA
Epidemiologic Perspectives & Innovations,BioMed Central Ltd,1742-5573,1625,2012-01-01,NA
EPIGENETICS & CHROMATIN,Biomed Central,1756-8935,2190,2012-01-01,MOLECULAR AND CELL BIOLOGY
EPJ Data Science,Springer,2193-1127,1340,2012-01-01,NA
Estonian Journal of Earth Sciences,ESTONIAN ACADEMY PUBLISHERS,1736-7557,0,2012-01-01,NA
ETRI JOURNAL,ELECTRONICS TELECOMMUNICATIONS RESEARCH INST,1225-6463,0,2012-01-01,NA
EURASIP Journal on Advances in Signal Processing,Springer,1687-6180,1340,2012-01-01,NA
EURASIP Journal on Audio Speech and Music Processing,Springer,1687-4722,670,2012-01-01,NA
EURASIP Journal on Bioinformatics and Systems Biology,Springer,1687-4153,670,2012-01-01,NA
EURASIP Journal on Embedded Systems,Springer,1687-3963,935,2012-01-01,NA
EURASIP Journal on Image and Video Processing,Springer,1687-5281,935,2012-01-01,NA
EURASIP Journal on Information Security,Springer,1687-417X,670,2012-01-01,NA
EURASIP Journal on Wireless Communications and Networking,Springer,1687-1499,1340,2012-01-01,NA
EUROPEAN CELLS & MATERIALS,Self Owned - Non-Profit Society,1473-2262,0,2012-01-01,ORTHOPEDICS
European Integration Online Papers-EIOP,Self Owned - Non-Profit Society,1027-5193,0,2012-01-01,POLITICAL SCIENCE
EUROPEAN JOURNAL OF HISTOCHEMISTRY,LUIGI PONZIO E FIGLIO,2038-8306,848,2012-01-01,NA
European Journal of Psychiatry,Universidad de Zaragoza,0213-6163,0,2012-01-01,PSYCHIATRY
The European Physical Journal E,Springer,1292-895X,0,2012-01-01,NA
European Transport Research Review,Springer,1867-0717,0,2012-01-01,NA
Evidence-Based Complementary and Alternative Medicine,Hindawi,1741-4288,1500,2012-01-01,NA
EvoDevo,BioMed Central Ltd,2041-9139,1970,2012-01-01,MOLECULAR AND CELL BIOLOGY
Evolutionary Bioinformatics,Libertas Academica,1176-9343,1980,2012-01-01,MOLECULAR AND CELL BIOLOGY
EVOLUTIONARY PSYCHOLOGY,Human Nature Review,1474-7049,0,2012-01-01,PSYCHOLOGY
Experimental & Translational Stroke Medicine,BioMed Central Ltd,2040-7378,1625,2012-01-01,NA
EXPERIMENTAL AND MOLECULAR MEDICINE,KOREAN SOC MED BIOCHEMISTRY MOLECULAR BIOLOGY,2092-6413,0,2012-01-01,NA
EXPERIMENTAL ANIMALS,INT PRESS EDITING CENTRE INC,1341-1357,0,2012-01-01,MOLECULAR AND CELL BIOLOGY
JOURNAL OF DIABETES RESEARCH,Hindawi,1687-5303,1500,2012-01-01,NA
Express Polymer Letters,Self Owned - Non-Profit Society,1788-618X,0,2012-01-01,PHYSICS AND CHEMISTRY
FAMILY MEDICINE,SOC TEACHERS FAMILY MEDICINE,0742-3225,0,2012-01-01,MEDICINE
FIBRES & TEXTILES IN EASTERN EUROPE,INST CHEMICAL FIBRES,1230-3666,0,2012-01-01,PHYSICS AND CHEMISTRY
Fibrogenesis & Tissue Repair,BioMed Central Ltd,1755-1536,2190,2012-01-01,NA
Filaria Journal,BioMed Central Ltd,1475-2883,1625,2012-01-01,NA
FILOMAT,KoBSON,0354-5180,0,2012-01-01,MATHEMATICS
FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,FACULTY SOCIAL SCIENCES CHARLES UNIV,0015-1920,0,2012-01-01,ECONOMICS
Fire Science Reviews,Springer,2193-0414,1340,2012-01-01,NA
Fish Pathology,J-Stage,1881-7335,0,2012-01-01,NA
FISHERY BULLETIN,Self Owned - Non-Profit Society,0090-0656,0,2012-01-01,ECOLOGY AND EVOLUTION
Fixed Point Theory and Applications,Springer,1687-1812,805,2012-01-01,NA
FLORIDA ENTOMOLOGIST,FLORIDA ENTOMOLOGICAL SOC,1938-5102,0,2012-01-01,NA
Fluids and Barriers of the CNS,BioMed Central Ltd,2045-8118,1625,2012-01-01,NA
FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,POLISH HISTOCHEMICAL CYTOCHEMICAL SOC,1897-5631,300,2012-01-01,NA
FOLIA NEUROPATHOLOGICA,VIA MEDICA,1509-572x,0,2012-01-01,NA
Fontiers in Microbiology,Frontiers,1664-302X,2086,2012-01-01,MOLECULAR AND CELL BIOLOGY
FOOD TECHNOLOGY AND BIOTECHNOLOGY,FACULTY FOOD TECHNOLOGY BIOTECHNOLOGY,1330-9862,0,2012-01-01,FOOD SCIENCE
FORDHAM LAW REVIEW,FORDHAM UNIV SCHOOL LAW,0015-704X,0,2012-01-01,LAW
FRONTIERS IN CELLULAR NEUROSCIENCE,Frontiers Research Foundation,1662-5102,2086,2012-01-01,NEUROSCIENCE
FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,Frontiers Research Foundation,1662-5188,2086,2012-01-01,NEUROSCIENCE
Frontiers in Endocrinology,Frontiers,1664-2392,2086,2012-01-01,NA
Frontiers in Genetics,Frontiers,1664-8021,2086,2012-01-01,NA
Frontiers in Human Neuroscience,Self Owned - Mid Sized - Unknown Profit Status,1662-5161,2584,2012-01-01,NEUROSCIENCE
Frontiers in Immunology,Frontiers,1664-3224,2086,2012-01-01,NA
FRONTIERS IN NEURAL CIRCUITS,Self Owned - Non-Profit Society,1662-5110,2086,2012-01-01,NEUROSCIENCE
Frontiers in Neurology,Frontiers,1664-2295,2086,2012-01-01,NA
Frontiers in Neuroscience,Frontiers,1662-453X,2086,2012-01-01,NA
Frontiers in Oncology,Frontiers,2234-943X,2086,2012-01-01,NA
Frontiers in Pharmacology,Frontiers,1663-9812,2086,2012-01-01,NA
Frontiers in Physiology,Frontiers,1664-042X,2086,2012-01-01,NA
Frontiers in Plant Science,Frontiers,1664-462X,2086,2012-01-01,PLANT BIOLOGY
Frontiers in Psychiatry,Frontiers,1664-0640,2086,2012-01-01,NA
Frontiers in Psychology,Frontiers,1664-1078,2086,2012-01-01,PSYCHOLOGY
FRONTIERS IN ZOOLOGY,Biomed Central,1742-9994,1780,2012-01-01,ECOLOGY AND EVOLUTION
Future Internet,MDPI,1999-5903,268,2012-01-01,NA
G3,Genetics Society of America,2160-1836,1950,2012-01-01,MOLECULAR AND CELL BIOLOGY
Games,MDPI,2073-4336,320,2012-01-01,NA
Gastroenterology Research and Practice,Hindawi,1687-630X,1200,2012-01-01,NA
Gene Therapy& Molecular Biology,Gene Therapy Press,1529-9120,0,2012-01-01,NA
Genes,MDPI,2073-4425,320,2012-01-01,NA
GENES & GENETIC SYSTEMS,GENETICS SOC JAPAN,1880-5779,0,2012-01-01,NA
Genetic Vaccines and Therapy,BioMed Central Ltd,1479-0556,1625,2012-01-01,NA
GENETICS AND MOLECULAR BIOLOGY,SOC BRASIL GENETICA,0100-8455,0,2012-01-01,NA
GENETICS AND MOLECULAR RESEARCH,Self Owned - Non-Profit Society,1676-5680,750,2012-01-01,MOLECULAR AND CELL BIOLOGY
GENETICS SELECTION EVOLUTION,EDP Sciences,1297-9686,1410,2012-01-01,NA
Genome Biology,BioMed Central Ltd,1465-6906,2470,2012-01-01,NA
GENOME BIOLOGY AND EVOLUTION,Oxford,1759-6653,1450,2012-01-01,MOLECULAR AND CELL BIOLOGY
Genome Integrity,BioMed Central Ltd,2041-9414,1625,2012-01-01,NA
Genome Medicine,BioMed Central Ltd,1756-994X,2470,2012-01-01,MOLECULAR AND CELL BIOLOGY
Geochemical Transactions,Springer,1467-4866,1625,2012-01-01,NA
Geochronometria,VERSITA,1897-1695,0,2012-01-01,NA
GEODIVERSITAS,Self Owned - Non-Profit Society,1280-9659,0,2012-01-01,NA
Geofisica Internacional,Self Owned - Non-Profit Society,0016-7169,0,2012-01-01,NA
Geografisk Tidsskrift-Danish Journal of Geography,Royal Danish Geographical Society,1903-2471,0,2012-01-01,NA
GEOLOGICA ACTA,Self Owned - Non-Profit Society,1695-6133,0,2012-01-01,NA
GEOLOGICA BELGICA,Self Owned - Non-Profit Society,1374-8505,0,2012-01-01,NA
GEOLOGICAL QUARTERLY,Self Owned - Non-Profit Society,1641-7291,0,2012-01-01,NA
GEORGE WASHINGTON LAW REVIEW,GEORGE WASHINGTON UNIV,0016-8076,0,2012-01-01,LAW
GEORGETOWN LAW JOURNAL,GEORGETOWN LAW JOURNAL ASSN,0016-8092,0,2012-01-01,LAW
