Domain_English,Field_English,SubField_English,1.01 SEQ,Source_title,issn,essn,smsid,
Applied Sciences,Enabling & Strategic Technologies,Biotechnology,13,Seibutsu-kogaku Kaishi,0919-3758,,101650,
Applied Sciences,Enabling & Strategic Technologies,Biotechnology,13,The Journal of Gene Medicine,1099-498X,1521-2254,110813,
Applied Sciences,Enabling & Strategic Technologies,Biotechnology,13,The journal of horticultural science & biotechnology,1462-0316,,115950,
Applied Sciences,Enabling & Strategic Technologies,Biotechnology,13,Trends in Biotechnology,0167-7799,,110638,
Applied Sciences,Enabling & Strategic Technologies,Biotechnology,13,World Journal of Microbiology and Biotechnology,0959-3993,1573-0972,127731,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,AAPG bulletin,0149-1423,,120718,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,ABB Review,1013-3119,,130608,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"ACS Division of Fuel Chemistry, Preprints",0569-3772,,112173,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Acta Petrologica Sinica,1000-0569,,118089,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"American Chemical Society, Division of Petroleum Chemistry, Preprints",0569-3799,,117000,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,American Journal of Applied Sciences,1546-9239,1554-3641,125875,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"American Society of Mechanical Engineers, Fuels and Combustion Technologies Division (Publication) FACT",1066-503X,,110128,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"American Society of Mechanical Engineers, Internal Combustion Engine Division (Publication) ICE",1066-5048,,119115,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"American Society of Mechanical Engineers, Power Division (Publication) PWR",,,126851,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Annals of Nuclear Energy,0306-4549,,107504,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Annual Review of Energy and the Environment,1056-3466,,112154,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Anti-Corrosion Methods and Materials,0003-5599,,103340,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Applied Energy,0306-2619,,111035,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Applied Thermal Engineering,1359-4311,,112156,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Atomic Energy,1063-4258,1573-8205,113177,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,ATW - Internationale Zeitschrift für Kernenergie,1431-5254,,111936,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Biomass & Bioenergy,0961-9534,,108399,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Boletim de Geociencias - Petrobras,0102-9304,,122880,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,British Corrosion Journal,0007-0599,,105445,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Bullentin of Canadian Petroleum Geology,0007-4802,,116860,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Bulletin - Centres de Recherches Exploration-Production Elf- Aquitaine, Memoire",0396-2687,,106146,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Bulletin of Electrochemistry,0256-1654,,108811,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Bulletin of Mineralogy Petrology and Geochemistry,1007-2802,,103638,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,BWK - Energie-Fachmagazin,1618-193X,,132945,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Chemical and Petroleum Engineering,0009-2355,1573-8329,126263,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Chemistry and Technology of Fuels and Oils,0009-3092,1573-8310,119390,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,China Petroleum Processing and Petrochemical Technology,1008-6234,,123180,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Clean Air,1561-4417,,102995,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Combustion and Flame,0010-2180,,111773,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Combustion Science and Technology,0010-2202,1563-521X,108570,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Combustion Theory & Modelling,1364-7830,1741-3559,111764,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Combustion, Explosion and Shock Waves",0010-5082,1573-8345,108936,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Contributions to Mineralogy and Petrology,0010-7999,1432-0967,119395,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Corrosion,0010-9312,,101441,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Corrosion and Protection,1005-748X,,102223,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Corrosion Engineering, Science and Technology",1478-422X,1743-2782,108470,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Corrosion Reviews,0334-6005,,108097,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Corrosion Science,0010-938X,,109310,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Corrosion Science and Protection Technology,1002-6495,,105082,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Denki Kagaku,0366-9297,,116074,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Dianli Xitong Zidonghua/Automation of Electric Power Systems,1000-1026,,126813,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Dianli Zidonghua Shebei / Electric Power Automation Equipment,1006-6047,,125477,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Doktorsavhandlingar vid Chalmers Tekniska Hogskola,0346-718X,,126805,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Dongli Gongcheng/Power Engineering,1000-6761,,101392,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Drilling Fluid and Completion Fluid,1001-5620,,108482,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Electric Power Components and Systems,1532-5008,1532-5016,117932,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Electric Power Systems Research,0378-7796,,115388,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Electrochemical and Solid-State Letters,1099-0062,,109380,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Electrochemical Society Interface,1064-8208,,121920,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Electrochemistry,1344-3542,,105659,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Electrochemistry Communications,1388-2481,,101928,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Electrochimica Acta,0013-4686,,119871,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy,0360-5442,,103379,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy & Environmental Science,1754-5692,1754-5706,104378,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy & Fuels,0887-0624,1520-5029,103484,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy and Environment,0958-305X,,125124,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy Conversion and Management,0196-8904,,109548,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy Economics,0140-9883,1873-6181,104436,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy Education Science and Technology Part A-Energy Science and Research,1308-772X,,140020,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy Education Science and Technology Part B-Social and Educational Studies,1308-7711,,140404,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy Engineering: Journal of the Association of Energy Engineers,0199-8595,1546-0118,115064,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy Exploration and Exploitation,0144-5987,,127526,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy for Sustainable Development,0973-0826,,131638,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy Journal,0195-6574,,132701,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Energy Policy,0301-4215,,120305,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Energy Sources, Part A: Recovery, Utilization, and Environmental Effects",1556-7036,1556-7230,109847,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Energy Sources, Part B: Economics, Planning and Policy",1556-7249,1556-7257,104970,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Energy Sources: Recovery, Utilization and Environmental Effects",0090-8312,1521-0510,113825,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Engineering Intelligent Systems,1472-8915,,103923,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,ETG-Fachberichte (Energietechnische Gesellschaft im VDE),0341-3934,,114332,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Euroheat and Power/Fernwarme International,0949-166X,,128310,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,European Transactions on Electrical Power,1430-144X,1546-3109,119159,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Exploration and Research for Atomic Minerals,0970-9231,,119285,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Frontiers of Energy and Power Engineering in China,1673-7393,1673-7504,124363,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Fuel,0016-2361,,118494,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Fuel Cells,1615-6846,1615-6854,107916,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Fuel Cells Bulletin,1464-2859,,101947,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Fuel Processing Technology,0378-3820,,102865,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Fusion Engineering and Design,0920-3796,,109803,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Fusion Science and Technology,1536-1055,,100409,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Fusion Technology,0748-1896,,101674,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Galvanotechnik,0016-4232,,106481,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Gaswaerme International,0020-9384,,130745,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Geotermia,0186-5897,,113062,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"GWF, Gas - Erdgas",0016-4909,,109109,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Hedongli Gongcheng/Nuclear Power Engineering,0258-0926,,116737,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Hydrocarbon Asia,0217-1112,,124984,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,IEEE Power and Energy Magazine,1540-7977,,131333,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,IEEE Power Engineering Review,0272-1724,,110092,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,IEEE Transactions on Power Delivery,0885-8977,,120039,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,IEEE Transactions on Power Systems,0885-8950,,108017,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,IEEJ Transactions on Power and Energy,0385-4213,1348-8147,120852,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"IET Generation, Transmission and Distribution",1751-8687,1751-8695,127439,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,IET Renewable Power Generation,1752-1416,1752-1424,113115,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,In Situ,0146-2520,,103559,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Ambient Energy,0143-0750,,112436,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Applied Thermodynamics,1301-9724,,116677,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Coal Geology,0166-5162,,116175,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Critical Infrastructures,1475-3219,1741-8038,123613,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Electrical Power & Energy Systems,0142-0615,,103479,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Electrochemical Science,1452-3981,,131827,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Emerging Electric Power Systems,,1553-779X,127228,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Energy Research,0363-907X,1099-114X,103468,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Energy Technology and Policy,1472-8923,1741-508X,123377,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Engine Research,1468-0874,,130110,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"International Journal of Engineering, Transactions B: Applications",1025-2495,,125147,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Exergy,1742-8297,1742-8300,109662,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Global Energy Issues,0954-7118,1741-5128,127129,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Green Energy,1543-5075,1543-5083,108908,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Greenhouse Gas Control,1750-5836,,111472,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Hydrogen Energy,0360-3199,,113458,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Photoenergy,1110-662X,1687-529X,112502,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Power and Energy Systems,1078-3466,,108186,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,International Journal of Sustainable Energy,1478-6451,1478-646X,103460,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Ionics,0947-7047,1862-0760,120738,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Iranian Journal of Science and Technology, Transaction B: Engineering",1028-6284,,131233,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"JNMM, Journal of the Institute of Nuclear Materials Management",0893-6188,,101681,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Analytical and Applied Pyrolysis,0165-2370,,108630,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Applied Electrochemistry,0021-891X,1572-8838,103706,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Canadian Petroleum Technology,0021-9487,,103084,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Coal Science and Engineering (China),1006-9097,1866-6566,128988,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Corrosion Science and Engineering,1466-8858,,108325,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Electroanalytical Chemistry and Interfacial Electrochemistry,0022-0728,,116223,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Energy Engineering,0733-9402,,115023,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Energy in Southern Africa,1021-447X,,123314,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Energy Resources Technology,0195-0738,1528-8994,119437,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Engineering for Gas Turbines and Power,0742-4795,1528-8919,113561,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Fuel Cell Science and Engineering,1550-624X,1551-6989,115079,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Fuel Chemistry and Technology,1872-5813,,114798,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Fusion Energy,0164-0313,1572-9591,106492,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Mineralogical and Petrological Sciences,1345-6296,,113402,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of New Materials for Electrochemical Systems,1480-2422,,113591,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Nuclear Materials,0022-3115,,119802,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of nuclear science and technology,0022-3131,,119640,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Petroleum Geology,0141-6421,1747-5457,102045,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Petroleum Science and Engineering,0920-4105,,114405,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Petrology,0022-3530,1460-2415,118219,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Power Sources,0378-7753,,102361,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Solar Energy Engineering,0199-6231,1528-8986,110859,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of Solid State Electrochemistry,1432-8488,1433-0768,103726,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of the Chinese Society of Corrosion and Protection,1005-4537,,109003,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of the Electrochemical Society,0013-4651,,114846,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of the Energy Institute,1743-9671,1746-0220,126620,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal of the Institution of Engineers (India): Civil Engineering Division,0373-1995,,100925,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Journal of the University of Petroleum, China (Natural Science Edition)",1000-5870,,126396,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Journal Of Thermal Science And Technology,1880-5566,,141066,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"JPT, Journal of Petroleum Technology",0149-2136,,111062,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Kerntechnik,0932-3902,,112832,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Khimiya i Tekhnologiya Topliv i Masel,0023-1169,,128919,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Kuangwu Yanshi,1001-6872,,118015,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Materials and Corrosion/Werkstoffe Und Korrosion,0947-5117,1521-4176,108491,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Materials performance,0094-1492,,134090,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Meitan Xuebao/Journal of the China Coal Society,0253-9993,,127974,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Memoirs of the Faculty of Engineering, Kyushu University",1345-868X,1880-148X,114286,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Metal Finishing,0026-0576,,123546,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Mineralogica et Petrographica Acta, Bologna",0540-1437,,118283,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Mineralogy and Petrology,0930-0708,1438-1168,112433,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Minerals and Energy,1404-1049,1651-2286,119977,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,MO Metalloberflache Beschichten von Metall und Kunststoff,0026-0797,,130620,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Neftyanoe Khozyaistvo - Oil Industry,0028-2448,,129527,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Neiranji Gongcheng/Chinese Internal Combustion Engine Engineering,1000-0925,,124098,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Neiranji Xuebao/Transactions of CSICE (Chinese Society for Internal Combustion Engines),1000-0909,,126521,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Nihon Enerugi Gakkaishi/Journal of the Japan Institute of Energy,0916-8753,,102115,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Nippon Genshiryoku Gakkaishi/Journal of the Atomic Energy Society of Japan,0004-7120,,100692,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Nuclear Energy,0140-4067,,110577,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Nuclear Engineer,0262-5091,,101811,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Nuclear Engineering and Design,0029-5493,,111714,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Nuclear Engineering and Technology,1738-5733,,117426,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Nuclear science and engineering : the journal of the American Nuclear Society,0029-5639,,119183,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Nuclear technology,0029-5450,,108042,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Offshore,0030-0608,,129114,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Oil and Gas Journal,0030-1388,,125166,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Oil and Gas Science and Technology,1294-4475,,119876,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Oil Gas European Magazine,0342-5622,,139791,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Oil Shale,0208-189X,,109741,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Oilfield Chemistry,1000-4092,,108607,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Oilfield Review,0923-1730,,127881,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Pacific and Asian Journal of Energy,0970-3888,,103745,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Petrole et Techniques,0152-5425,,128204,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Petroleum Chemistry,0965-5441,1555-6239,101592,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Petroleum Geoscience,1354-0793,,115722,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Petroleum Refinery Engineering,1002-106X,,101615,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Petroleum Science & Technology,1091-6466,1532-2459,102790,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Petroleum Technology Quarterly,1362-363X,,130862,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Petrology,0869-5911,1556-2085,100373,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Petrophysics,1529-9074,,110088,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Petrotech,0386-2763,,110039,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Pipe Line and Gas Industry,1079-8765,,130127,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Pipeline World,1471-3101,,129158,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Plating and Surface Finishing,0360-3164,,132767,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Power System Technology,1000-3673,,123697,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Progress in Energy and Combustion Science,0360-1285,,102525,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Progress in Nuclear Energy,0149-1970,,112768,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Protection of Metals,0033-1732,1608-327X,107883,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Ranshao Kexue Yu Jishu/Journal of Combustion Science and Technology,1006-8740,,110520,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Reneng Dongli Gongcheng/Journal of Engineering for Thermal Energy and Power,1001-2060,,111404,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Renewable & Sustainable Energy Reviews,1364-0321,,113467,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Renewable Energy,0960-1481,,115728,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Renewable Energy Focus,1471-0846,,125958,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Revue de L'Energie,0303-240X,,100693,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Rivista dei Combustibili,0035-5852,,123075,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Russian Journal of Electrochemistry,1023-1935,1608-3342,100561,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Schweizerische Mineralogische und Petrographische Mitteilungen,0036-7699,,108262,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Shi You Lian Zhi Yu Hua Gong/Petroleum Processing and Petrochemicals,1005-2399,,103948,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Shiyou Diqiu Wuli Kantan/Oil Geophysical Prospecting,1000-7210,,113357,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Shiyou Huagong Gaodeng Xuexiao Xuebao/Journal of Petrochemical Universities,1006-396X,,130720,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Shiyou Huagong Shebei/ Petro-Chemical Equipment,1000-7466,,124850,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Shiyou Huagong/Petrochemical Technology,1000-8144,,130407,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development,1000-0747,,106582,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,"Shiyou Xuebao, Shiyou Jiagong/Acta Petrolei Sinica (Petroleum Processing Section)",1001-8719,,126821,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Shiyou Xuebao/Acta Petrolei Sinica,0253-2697,,118765,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Shuili Fadian Xuebao/Journal of Hydroelectric Engineering,1003-1243,,130590,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Solar Energy,0038-092X,,110269,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Solar Energy Materials & Solar Cells,0927-0248,,108197,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Solid State Ionics,0167-2738,,107240,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,SPE Drilling and Completion,1064-6671,,107284,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,SPE Journal,1086-055X,,108247,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,SPE Production and Facilities,1064-668X,,113998,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,SPE Reservoir Engineering,0885-9248,,111466,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,SPE Reservoir Evaluation and Engineering,1094-6470,,114602,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Taiyangneng Xuebao/Acta Energiae Solaris Sinica,0254-0096,,103463,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,The Electricity Journal,1040-6190,,108734,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Thermal Engineering,0040-6015,1555-6301,132588,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Thermal Science,0354-9836,,128212,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Tianranqi Gongye/Natural Gas Industry,1000-0976,,123463,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Transactions of the Atomic Energy Society of Japan,1347-2879,,116526,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Transactions of the Institute of Metal Finishing,0020-2967,1745-9192,102960,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Transactions of the SAEST (Society for Advancement of Electrochemical Science and Technology),0036-0678,,114110,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,VGB PowerTech,1435-3199,,127558,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,VTT Publications,1235-0621,,131033,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Wind Energy,1095-4244,1099-1824,100916,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Wind Engineering,0309-524X,,110773,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,World Oil,0043-8790,,111107,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Xinan Shiyou Xueyuan Xuebao/Journal of Southwestern Petroleum Institute,1000-2634,,123816,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Yuanzineng Kexue Jishu/Atomic Energy Science and Technology,1000-6931,,126412,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Zairyo to Kankyo/ Corrosion Engineering,0917-0480,,113698,
Applied Sciences,Enabling & Strategic Technologies,Energy,14,Zhongguo Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of China University of Petroleum (Edition of Natural Science),1673-5005,,130615,
Applied Sciences,Enabling & Strategic Technologies,Materials,15,Acta Materialia,1359-6454,,115396,
Applied Sciences,Enabling & Strategic Technologies,Materials,15,Acta Metallurgica Sinica,1006-7191,,115521,
Applied Sciences,Enabling & Strategic Technologies,Materials,15,Acta Technica CSAV (Ceskoslovensk Akademie Ved),0001-7043,,129729,
Applied Sciences,Enabling & Strategic Technologies,Materials,15,Advanced Composite Materials,0924-3046,1568-5519,112863,
Applied Sciences,Enabling & Strategic Technologies,Materials,15,Advanced Composites Letters,0963-6935,,101443,
