"issn","journal_name","pub_name",is_hybrid,"category","url"
"1437-9546","Acta Ethologica","Springer",1,NULL,NULL
"1437-9813","Pediatric Surgery International","Springer",1,NULL,NULL
"1438-1168","Mineralogy and Petrology","Springer",1,NULL,NULL
"1438-1435","Emergency Radiology","Springer",1,NULL,NULL
"1438-2199","Amino Acids","Springer",1,NULL,NULL
"1438-2385","European Food Research and Technology","Springer",1,NULL,NULL
"1438-3888","Helgoland Marine Research","Biomed Central",0,NULL,NULL
"1438-390X","Population Ecology","Springer",1,NULL,NULL
"1438-5627","Forum: Qualitative Social Research","FQS ",0,"Social Sciences","http://qualitative-research.net/"
"1438-7573","Journal of the Association for Research in Otolaryngology","Springer",1,NULL,NULL
"1438-7948","Functional & Integrative Genomics","Springer",1,NULL,NULL
"1438-8359","Journal of Anesthesia","Springer",1,NULL,NULL
"1438-8871","Journal of Medical Internet Research","JMIR Publications",0,"Medicine",""
"1439-0302","Erwerbs-Obstbau","Springer",1,NULL,NULL
"1439-0345","Gesunde Pflanzen","Springer",1,NULL,NULL
"1439-040X","Journal of Applied Botany and Food Quality","Association for Applied Botany e. V., German Society for Quality Research on Plant Foods (DGQ)",0,"Science",""
"1439-0515","Natur Und Recht","Springer",1,NULL,NULL
"1439-0574","European Journal of Wildlife Research","Springer",1,NULL,NULL
"1439-0973","Infection","Springer",1,NULL,NULL
"1439-099X","Strahlentherapie Und Onkologie","Springer",1,NULL,NULL
"1439-1104","Invertebrate Neuroscience","Springer",1,NULL,NULL
"1439-1581","International Journal of Pediatrics","nan",0,NULL,""
"1439-4847","Neurophysiologie-Labor","Elsevier",1,NULL,NULL
"1439-5444","Journal of Ethology","Springer",1,NULL,NULL
"1439-6327","European Journal of Applied Physiology","Springer",1,NULL,NULL
"1439-863X","Limnology","Springer",1,NULL,NULL
"1440-1592","Allergology International","Elsevier",0,"Medicine","http://www.journals.elsevier.com/allergology-international/jp/browse/allergolint"
"1440-1681","Clinical Case Reports","Wiley",0,NULL,NULL
"1440-1703","Ecological Research","Springer",1,NULL,NULL
"1440-1800","Nursing Open","Wiley",0,NULL,NULL
"1441-2616","M/C Journal","Queensland University of Technology",0,"Language and Literature","http://journal.media-culture.org.au/index.php"
"1442-8903","Ecology and Evolution","Wiley",0,NULL,NULL
"1443-458X","Journal of Research and Practice in Information Technology","Self Owned - Non-Profit Society",0,NULL,NULL
"1443-833X","Australian Educational Computing","Australian Council for Computers in Education",0,"Education | Technology","http://journal.acce.edu.au/index.php/AEC/index"
"1444-2906","Fisheries Science","Springer",1,NULL,NULL
"1444-3775","Transformations","Central Queensland University",0,"Language and Literature","http://www.transformationsjournal.org/journal/index.shtml"
"1445-6354","Rural and Remote Health","",0,NULL,""
"1445-7377","Indo-Pacific Journal of Phenomenology","University of Johannesburg, Edith Cowan University (Australia), NISC (Pty) Ltd.",0,"Philosophy. Psychology. Religion","http://www.ipjp.org"
"1445-8810","ANZIAM Journal : Electronic Supplement","Australian Mathematical Society",0,"Science","http://journal.austms.org.au/ojs/index.php/ANZIAMJ"
"1446-3164","The Journal of Global Positioning Systems","Springer",0,NULL,NULL
"1447-056X","Asia Pacific Family Medicine","BioMed Central",0,"Medicine","https://apfmj.biomedcentral.com"
"1447-0578","Reproductive Medicine and Biology","Springer",1,NULL,NULL
"1447-073X","Anatomical Science International","Springer",1,NULL,NULL
"1448-1458","International Journal of Humanities and Cultural Studies","nan",0,NULL,""
"1448-6032","Australasian Plant Pathology","Springer",1,NULL,NULL
"1449-1907","International Journal of Medical Sciences","",0,NULL,""
"1449-2288","International Journal of Biological Sciences","Self Owned - Non-Profit Society",0,"",""
"1449-2490","PORTAL: Journal of Multidisciplinary International Studies","UTS ePRESS",0,"Political science","http://epress.lib.uts.edu.au/ojs/index.php/portal"
"1449-5554","Australasian Journal of Educational Technology","Self Owned - Non-Profit Society",0,NULL,NULL
"1450-3417","Biolinguistics","Biolinguistics",0,"Language and Literature","http://www.biolinguistics.eu/"
"1450-5339","Journal of Mining and Metallurgy Section B-Metallurgy","",0,NULL,""
"1450-698X","Serbian Astronomical Journal","",0,NULL,""
"1451-3994","Nuclear Technology & Radiation Protection","",0,NULL,""
"1451-9283","Psihologija","Drustvo Psihologa Srbije",0,"Philosophy. Psychology. Religion","http://www.doiserbia.nb.rs/Journal.aspx?ISSN=0048-5705"
"1451-9372","Chemical Industry & Chemical Engineering Quarterly","KoBSON",0,"nan",""
"1452-3981","International Journal of Electrochemical Science","nan",0,NULL,""
"1452-595X","Panoeconomicus","",0,NULL,""
"1452-8185","Nuclear Technology & Radiation Protection","Self Owned - Non-Profit Society",0,NULL,NULL
"1452-8258","Journal of Medical Biochemistry","",0,NULL,""
"1452-8266","Journal of Medical Biochemistry","De Gruyter Open",0,"Science","http://www.degruyter.com/view/j/jomb"
"1452-8630","Applicable Analysis and Discrete Mathematics","KoBSON",0,"MATHEMATICS",""
"1455-0725","Nordic Studies on Alcohol and Drugs","",0,NULL,""
"1457-9863","Apples: Journal of Applied Language Studies","University of Jyväskylä",0,"Language and Literature","http://apples.jyu.fi"
"1458-6126","Nordic Studies on Alcohol and Drugs ","De Gruyter Open",0,"Social Sciences","http://www.degruyter.com/view/j/nsad"
"1459-1474","International Journal of Humanities and Cultural Studies","nan",0,NULL,""
"1459-6067","Agricultural and Food Science","",0,NULL,""
"1460-2687","Sports Engineering","Springer",1,NULL,NULL
"1460-2709","Medical Mycology","Taylor & Francis Ltd",0,NULL,NULL
"1460-7425","Jasss-The Journal of Artificial Societies and Social Simulation","Simsoc Consortium",0,NULL,""
"1461-1457","International Journal of Neuropsychopharmacology","",0,NULL,""
"1461-1570","Lms Journal of Computation and Mathematics","CAMBRIDGE UNIV PRESS",0,"","https://www.cambridge.org/core/services/authors/journals/publishing-an-accepted-paper"
"1462-7264","Discrete Mathematics and Theoretical Computer Science","",0,NULL,""
"1463-1741","Noise & Health","Medknow Publications",0,"",""
"1464-5068","Journal of Analytical Methods in Chemistry","Hindawi",0,NULL,NULL
"1465-3249","Cytotherapy","Elsevier",0,"MOLECULAR AND CELL BIOLOGY",""
"1465-5411","Breast Cancer International Journal of Breast Cancer","BioMed Central Ltd",0,"ONCOLOGY",""
"1465-542X","Breast Cancer Research","Biomed Central",0,NULL,""
"1465-6906","Genome Biology","Biomed Central Ltd",0,NULL,NULL
"1465-7295","Energy Science & Engineering","Wiley",0,NULL,NULL
"1465-9921","Respiratory Research","Biomed Central",0,"Medicine",NULL
"1465-993X","Respiratory Research","Biomed Central",0,NULL,""
"1466-1268","Cell Stress and Chaperones","Springer",1,NULL,NULL
"1466-1861","Mediators of Inflammation","Hindawi Publishing Corporation",0,"Medicine","https://www.hindawi.com/journals/mi"
"1466-609X","Critical Care","BioMed Central",0,"Medicine",""
"1467-3037","Current Issues in Molecular Biology","HORIZON SCIENTIFIC PRESS",0,"MOLECULAR AND CELL BIOLOGY",""
"1467-4866","Geochemical Transactions","Springer",0,"Geography. Anthropology. Recreation",""
"1467-7644","Plant Biotechnology Journal","",0,NULL,""
"1467-7652","Plant Biotechnology Journal","Wiley",0,"Agriculture","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-7652"
"1467-789X","Obesity Science & Practice ","Wiley",0,NULL,NULL
"1467-9922","Laryngoscope Investigative Otolaryngology","Wiley",0,NULL,NULL
"1467-9981","Metascience","Springer",1,NULL,NULL
"1467-999X","Microbial Biotechnology","Wiley",0,NULL,NULL
"1468-0483","Global Challenges","Wiley",0,NULL,NULL
"1468-2869","Journal of Urban Health","Springer",1,NULL,NULL
"1468-6996","Science and Technology of Advanced Materials","",0,NULL,""
"1468-8123","Geofluids","Hindawi",0,NULL,NULL
"1469-5111","International Journal of Neuropsychopharmacology","Oxford University Press",0,"Medicine","http://ijnp.oxfordjournals.org/ "
"1470-1014","Politikon","Routledge Journals",0,NULL,NULL
"1470-3203","Journal of the Renin-Angiotensin-Aldosterone System","",0,NULL,""
"1470-5648","Consciousness, Literature and the Arts","University of Lincoln",0,"Language and Literature","http://blackboard.lincoln.ac.uk/bbcswebdav/users/dmeyerdinkgrafe/index.htm"
"1470-7330","Cancer Imaging","BioMed Central",0,"RADIOLOGY",""
"1470-9570","German as a Foreign Language","GFL",0,"Language and Literature","http://www.gfl-journal.de/"
"1470-9589","Autex Research Journal","",0,NULL,""
"1471-0676","Platinum Metals Review","Johnson Matthey Plc",0,"","nan"
"1471-2091","Bmc Biochemistry","BMC-Springer",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-2105","Bmc Bioinformatics","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-2121","Bmc Cell Biology","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-213X","Bmc Developmental Biology","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-2148","Bmc Evolutionary Biology","Biomed Central",0,"ECOLOGY AND EVOLUTION",""
"1471-2156","Bmc Genetics","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-2164","Bmc Genomics","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-2172","Bmc Immunology","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-2180","Bmc Microbiology","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-2199","Bmc Molecular Biology","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-2202","Bmc Neuroscience","Biomed Central",0,"NEUROSCIENCE",""
"1471-2210","Bmc Pharmacology","Biomed Central Ltd",0,NULL,NULL
"1471-2229","Bmc Plant Biology","Biomed Central",0,"PLANT BIOLOGY",""
"1471-2253","BMC Anesthesiology","BioMed Central Ltd",0,"MEDICINE",""
"1471-2261","BMC Cardiovascular Disorders","Biomed Central",0,"MEDICINE",""
"1471-227X","BMC Emergency Medicine","BioMed Central",0,"Medicine","http://bmcemergmed.biomedcentral.com"
"1471-2288","BMC Medical Research Methodology","Biomed Central",0,"MEDICINE",""
"1471-2296","BMC Family Practice","Biomed Central",0,"MEDICINE",""
"1471-230X","Bmc Gastroenterology","Biomed Central",0,"GASTROENTEROLOGY",""
"1471-2318","BMC Geriatrics","BMC-Springer",0,"MEDICINE",""
"1471-2326","Bmc Blood Disorders","Biomed Central Ltd",0,NULL,NULL
"1471-2334","Bmc Infectious Diseases","Biomed Central",0,"INFECTIOUS DISEASES",""
"1471-2342","Bmc Medical Imaging","BioMed Central Ltd",0,"RADIOLOGY",""
"1471-2350","BMC Medical Genetics","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1471-2369","BMC Nephrology","Biomed Central",0,"NEPHROLOGY",""
"1471-2377","BMC Neurology","Biomed Central",0,"NEUROSCIENCE",""
"1471-2393","BMC Pregnancy and Childbirth","BMC-Springer",0,"MEDICINE",""
"1471-2407","Bmc Cancer","Biomed Central",0,"ONCOLOGY",""
"1471-2415","BMC Ophthalmology","Biomed Central",0,"OPHTHALMOLOGY",""
"1471-2431","BMC Pediatrics","Biomed Central",0,"MEDICINE",""
"1471-244X","BMC Psychiatry","Biomed Central",0,"PSYCHIATRY",""
"1471-2458","Bmc Public Health","Biomed Central",0,"MEDICINE",""
"1471-2466","BMC Pulmonary Medicine","BMC-Springer",0,"MEDICINE",""
"1471-2474","Bmc Musculoskeletal Disorders","Biomed Central",0,"ORTHOPEDICS",""
"1471-2482","BMC Surgery","BMC-Springer",0,"GASTROENTEROLOGY",""
"1471-2490","BMC Urology","BMC-Springer",0,"UROLOGY",""
"1471-5546","Science and Engineering Ethics","Springer",1,NULL,NULL
"1471-5945","BMC Dermatology","BioMed Central",0,"Medicine","http://bmcdermatol.biomedcentral.com"
"1472-3646","Archaea-An International Microbiological Journal","",0,NULL,""
"1472-3654","Archaea ","Hindawi Publishing Corporation",0,"Science","https://www.hindawi.com/journals/archaea/"
"1472-6750","Bmc Biotechnology","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1472-6769","Bmc Chemical Biology","Biomed Central Ltd",0,NULL,NULL
"1472-6785","Bmc Ecology","BioMed Central Ltd",0,"nan",""
"1472-6793","BMC Physiology","BioMed Central",0,"Science","http://bmcphysiol.biomedcentral.com"
"1472-6807","Bmc Structural Biology","BioMed Central",0,"Science",""
"1472-6815","BMC Ear, Nose and Throat Disorders","BioMed Central",0,"Medicine","http://bmcearnosethroatdisord.biomedcentral.com"
"1472-6823","BMC Endocrine Disorders","BMC-Springer",0,"MEDICINE",""
"1472-6831","BMC Oral Health","BMC-Springer",0,"DENTISTRY",""
"1472-684X","BMC Palliative Care","BMC-Springer",0,"MEDICINE",""
"1472-6874","BMC Womens Health","BMC-Springer",0,"MEDICINE",""
"1472-6882","BMC Complementary and Alternative Medicine","Biomed Central",0,"FOOD SCIENCE",""
"1472-6890","BMC Clinical Pathology","BioMed Central",0,"Medicine","http://bmcclinpathol.biomedcentral.com"
"1472-6904","Bmc Clinical Pharmacology","Biomed Central Ltd",0,NULL,NULL
"1472-6920","BMC Medical Education","Biomed Central",0,"MEDICINE",""
"1472-6939","BMC Medical Ethics","BMC-Springer",0,"MEDICINE",""
"1472-6947","BMC Medical Informatics and Decision Making","Biomed Central",0,"MEDICINE",""
"1472-6955","BMC Nursing","BioMed Central",0,"Medicine","http://bmcnurs.biomedcentral.com"
"1472-6963","Bmc Health Services Research","Biomed Central",0,"MEDICINE",""
"1472-698X","BMC International Health and Human Rights","BMC-Springer",0,"MEDICINE",""
"1472-765X","Limnology & Oceanography Letters","Wiley",0,NULL,NULL
"1472-9792","Tuberculosis","Elsevier",1,"Molecular and Cell Biology",NULL
"1473-2262","European Cells & Materials","Self Owned - Non-Profit Society",0,"",""
"1473-2300","Journal of International Medical Research","SAGE Publishing",0,"Medicine","http://imr.sagepub.com"
"1473-2866","Ephemera : Theory and Politics in Organization","University of Leicester, University of Essex",0,"Social Sciences","http://www.ephemerajournal.org/"
"1473-4230","The Cerebellum","Springer",1,NULL,NULL
"1473-9542","Human Genomics","",0,NULL,""
"1474-7049","Evolutionary Psychology","Human Nature Review",0,"",""
"1474-760X","Genome Biology","BioMed Central",0,"Science",""
"1474-9718","Aging Cell","",0,NULL,""
"1474-9726","Aging Cell","Wiley",0,"Medicine","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1474-9726"
"1475-1494","International Journal of Humanities and Cultural Studies","nan",0,NULL,""
"1475-2689","In Vitro Cellular & Developmental Biology - Plant","Springer",1,NULL,NULL
"1475-2840","Cardiovascular Diabetology","Biomed Central",0,"MEDICINE",""
"1475-2859","Microbial Cell Factories","BioMed Central",0,"Science",""
"1475-2867","Cancer Cell International","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY",""
"1475-2875","Malaria Journal","BioMed Central",0,"Medicine",""
"1475-2883","Filaria Journal","Biomed Central Ltd",0,NULL,NULL
"1475-2891","Nutrition Journal","Biomed Central",0,"",""
"1475-4916","Homeopathy","Elsevier",1,"Medicine",NULL
"1475-4924","Journal of Biology","BioMed Central",0,"Science","http://jbiol.com/home"
"1475-925X","Biomedical Engineering Online","Biomed Central",0,"SPORTS MEDICINE",""
"1475-9268","Cell & Chromosome","Biomed Central Ltd",0,NULL,NULL
"1475-9276","International Journal for Equity in Health","Biomed Central",0,"",""
"1475-9292","Kinetoplastid Biology and Disease","Biomed Central Ltd",0,NULL,NULL
"1475-9985","Informatics in Primary Care","BCS, The Chartered Institute for IT",0,"Medicine","http://hijournal.bcs.org"
"1476-069X","Environmental Health","Biomed Central",0,"",""
"1476-0711","Annals of Clinical Microbiology and Antimicrobials","BioMed Central Ltd",0,"INFECTIOUS DISEASES",""
"1476-072X","International Journal of Health Geographics","Biomed Central",0,"",""
"1476-3524","Neurotoxicity Research","Springer",1,NULL,NULL
"1476-3591","Ehealth International","Biomed Central Ltd",0,NULL,NULL
"1476-4431","Journal of Veterinary Internal Medicine","Wiley",0,NULL,NULL
"1476-4598","Molecular Cancer","BioMed Central",0,"Medicine",""
"1476-511X","Lipids in Health and Disease","Biomed Central",0,"",""
"1476-5535","Journal of Industrial Microbiology & Biotechnology","Springer",1,NULL,NULL
"1476-5586","Neoplasia","Elsevier",0,"Medicine",""
"1476-5918","Dynamic Medicine","Biomed Central Ltd",0,NULL,NULL
"1476-5926","Comparative Hepatology","Biomed Central Ltd",0,NULL,NULL
"1476-7120","Cardiovascular Ultrasound","Biomed Central",0,"MEDICINE",""
"1476-7961","Clinical and Molecular Allergy","BioMed Central",0,"Medicine","http://www.clinicalmolecularallergy.com/"
"1476-8518","Journal of Immune Based Therapies and Vaccines","Biomed Central Ltd",0,NULL,NULL
"1476-9255","Journal of Inflammation-London","Biomed Central",0,"",""
"1476-9360","Journal of the Operations Research Society of Japan","Operations Research Society of Japan",0,NULL,NULL
"1476-9433","Medical Immunology","Biomed Central Ltd",0,NULL,NULL
"1477-044X","Biomagnetic Research and Technology","Biomed Central Ltd",0,NULL,NULL
"1477-3155","Journal of Nanobiotechnology","BioMed Central Ltd",0,"",""
"1477-3163","Journal of Carcinogenesis","Medknow Publications",0,"Medicine","http://www.carcinogenesis.com/"
"1477-5751","Journal of Negative Results in Biomedicine","Biomed Central Ltd",0,NULL,NULL
"1477-5956","Proteome Science","Self Owned - Non-Profit Society",0,"",""
"1477-7029","Electronic Journal of Business Research Methods","Academic Conference and Publishing International Limited",0,"Social Sciences","http://www.ejbrm.com/ "
"1477-7517","Harm Reduction Journal","Biomed Central",0,"",""
"1477-7525","Health and Quality of Life Outcomes","Biomed Central",0,"Medicine",""
"1477-7800","International Seminars in Surgical Oncology","Biomed Central Ltd",0,NULL,NULL
"1477-7819","World Journal of Surgical Oncology","Biomed Central",0,"",""
"1477-7827","Reproductive Biology and Endocrinology","Biomed Central",0,"Medicine",""
"1477-9560","Thrombosis Journal","BioMed Central",0,"Medicine","http://www.thrombosisjournal.com/"
"1478-1336","Nuclear Receptor","Biomed Central Ltd",0,NULL,NULL
"1478-2286","Tempo","Cambridge Univ Press",0,NULL,NULL
"1478-4491","Human Resources for Health","Biomed Central",0,"",""
"1478-4505","Health Research Policy and Systems","BioMed Central Ltd",0,"",""
"1478-6354","Arthritis Research & Therapy","BioMed Central",0,"Medicine",""
"1478-6362","Arthritis Research & Therapy","BioMed Central",0,"RHEUMATOLOGY",""
"1478-7547","Cost Effectiveness and Resource Allocation","BioMed Central",0,"Medicine",""
"1478-7954","Population Health Metrics","BioMed Central Ltd",0,"",""
"1478-811X","Cell Communication and Signaling","BioMed Central Ltd",0,"MOLECULAR AND CELL BIOLOGY",""
"1479-0556","Genetic Vaccines and Therapy","Biomed Central Ltd",0,NULL,NULL
"1479-439X","Electronic Journal of E-Government","Academic Conferences and Publishing International",0,"Political science","http://www.ejeg.com/"
"1479-5868","International Journal of Behavioral Nutrition and Physical Activity","Biomed Central",0,"",""
"1479-5876","Journal of Translational Medicine","Biomed Central",0,"Molecular and Cell Biology",""
"1479-7364","Human Genomics","BioMed Central",0,"","https://humgenomics.biomedcentral.com/submission-guidelines/fees-and-funding"
"1479-8425","Sleep and Biological Rhythms","Springer",1,NULL,NULL
"1480-9222","Biological Procedures Online","Biomed Central",0,"MOLECULAR AND CELL BIOLOGY",""
"1481-4374","CLCWeb","Purdue University Press",0,"Language and Literature","http://docs.lib.purdue.edu/clcweb"
"1481-854X","Maladies Chroniques Au Canada","Minister of Health",0,"Medicine","http://www.phac-aspc.gc.ca/publicat/cdic-mcc/index-fra.php"
"1482-1826","Journal of Pharmacy and Pharmaceutical Sciences","Canadian Society for Pharmaceutical Sciences",0,"Medicine",""
"1488-2159","Journal of the Canadian Dental Association","Self Owned - Non-Profit Society",0,"Dentistry",NULL
"1488-2310","Canadian Journal of Surgery","Cma Media Inc",0,NULL,NULL
"1488-2434","Journal of Psychiatry & Neuroscience","Cma Media Inc",0,NULL,NULL
"1492-3831","International Review of Research in Open and Distributed Learning","",0,NULL,""
"1492-8442","VertigO"," Éditions en environnement VertigO",0,"Geography. Anthropology. Recreation","http://vertigo.revues.org/"
"1494-5185","EGambling","Centre for Addiction and Mental Health",0,"Medicine","http://jgi.camh.net/loi/jgi"
"1495-1512","International Journal of Humanities and Cultural Studies","nan",0,NULL,""
"1496-0974","Language and Literacy: A Canadian Educational E-Journal","Language and Literacy Researchers of Canada",0,"Language and Literature","http://ejournals.library.ualberta.ca/index.php/langandlit/index"
"1499-2671","Canadian Journal of Diabetes","CANADIAN DIABETES ASSOC",0,"MEDICINE",""
"1499-6685","Canadian Journal of Learning and Technology","The Canadian Network for Innovation in Education (CNIE)",0,"Education","http://www.cjlt.ca/index.php/cjlt"
"1499-7185","Belphégor","	Dalhousie University",0,"Language and Literature","http://belphegor.revues.org"
"1502-5462","ICAME Journal","De Gruyter Open",0,"Language and Literature","http://www.degruyter.com/view/j/icame"
"1502-7724","Scandinavian Journal of Primary Health Care","Taylor & Francis Group",0,"Medicine","http://www.tandfonline.com/IPRI"
"1503-2086","Nordlit: Tidsskrift I Litteratur Og Kultur ","Septentrio Academic Publishing",0,"Language and Literature","http://www.ub.uit.no/baser/septentrio/index.php/nordlit"
"1503-8599","Nordlyd: Tromsø University Working Papers on Language & Linguistics","Septentrio Academic Publishing",0,"Language and Literature","http://septentrio.uit.no/index.php/nordlyd"
"1504-4831","Seminar.net","Lillehammer University College",0,"Education","http://seminar.net"
"1505-1773","Polish Journal of Veterinary Sciences","Polish Academy of Sciences",0,"Veterinary",NULL
"1509-572x","Folia Neuropathologica","Termedia Publishing House",0,"Medicine","http://www.termedia.pl/Journal/Folia_Neuropathologica-20"
"1509-5770","Acta Physica Polonica A","Polish Academy of Sciences",0,NULL,NULL
"1509-8117","Polish Journal of Chemical Technology","",0,NULL,""
"1512-2891","Journal of Homotopy and Related Structures","Springer",0,"","https://www.springer.com/us/open-access/springer-open-choice"
"1512-7680","Materia Socio Medica","Avicena Publisher",0,NULL,""
"1512-8601","Bosnian Journal of Basic Medical Sciences","",0,NULL,""
"1513-1524","International Journal of Humanities and Cultural Studies","nan",0,NULL,""
"1513-7368","Asian Pacific Journal of Cancer Prevention","Self Owned - Non-Profit Society",0,"ONCOLOGY",""
"1514-2590","Analecta Veterinaria","Universidad Nacional de La Plata",0,"Agriculture","http://www.fcv.unlp.edu.ar/analecta/index.php"
"1514-6871","Trabajo Y Sociedad","Universidad Nacional de Santiago del Estero",0,"Geography. Anthropology. Recreation","http://www.unse.edu.ar/trabajoysociedad/"
"1515-5994","Mundo Agrario","Universidad Nacional de La Plata",0,"History America","http://mundoagrario.unlp.edu.ar/"
"1516-0351","Revista Quaestio Iuris","Universidade do Estado do Rio de Janeiro",0,"Law","http://www.e-publicacoes.uerj.br/index.php/quaestioiuris/index"
"1516-1439","Materials Research-Ibero-American Journal of Materials","",0,NULL,""
"1516-3180","Sao Paulo Medical Journal","",0,NULL,""
"1516-4446","Revista Brasileira De Psiquiatria","",0,NULL,""
"1516-635X","Brazilian Journal of Poultry Science","",0,NULL,""
"1516-8913","Brazilian Archives of Biology and Technology","",0,NULL,""
"1517-4549","Tomo","Universidade Federal de Sergipe",0,"Social Sciences","http://seer.ufs.br/index.php/tomo"
"1517-7076","Materia-Rio De Janeiro","Universidade Federal do Rio de Janeiro",0,"Technology",""
"1517-8382","Brazilian Journal of Microbiology","",0,NULL,""
"1517-8692","Revista Brasileira De Medicina Do Esporte","",0,NULL,""
"1518-1219","Meridiano 47","Instituto Brasileiro de Relações Internacionais",0,"Political science","http://www.meridiano47.info"
"1518-2487","Revista Eptic","Universidade Federal de Sergipe",0,"Social Sciences","http://www.seer.ufs.br/index.php/eptic/index"
"1518-3394","Mneme: Revista De Humanidades","Universidade Federal do Rio Grande do Norte",0,"General Works","http://periodicos.ufrn.br/mneme"
"1518-8345","Revista Latino-Americana De Enfermagem","Universidade de São Paulo",0,"Medicine",""
"1518-8787","Revista De Saúde Pública","Universidade de São Paulo",0,"Medicine","http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-8910&lng=en&nrm=iso"
"1519-0617","Ciberlegenda","Universidade Federal Fluminense",0,"Fine Arts","http://www.ciberlegenda.uff.br/index.php/revista"
"1519-1397","Phyllomedusa","",0,NULL,""
"1519-6984","Brazilian Journal of Biology","",0,NULL,""
"1519-9940","Revista Brasileira De Saúde E Produção Animal","Universidade Federal da Bahia",0,"Agriculture","http://www.scielo.br/scielo.php?script=sci_serial&pid=1519-9940&lng=en&nrm=iso"
"1520-0477","Bulletin of the American Meteorological Society","Amer Meteorological Soc",0,NULL,NULL
"1520-6505","Evolutionary Applications","Wiley",0,NULL,NULL
"1521-186X","Bioengineering & Translational Medicine","Wiley",0,NULL,NULL
"1521-1886","Gps Solutions","Springer",1,NULL,NULL
"1521-4672","Informing Science the International Journal of an Emerging Transdiscipline","Informing Science Institute",0,"Language and Literature","http://inform.nu/"
"1522-1229","Advances in Physiology Education","Amer Physiological Soc",0,NULL,NULL
"1522-1709","Sleep and Breathing","Springer",1,NULL,NULL
"1522-4600","Nexus Network Journal","Springer",1,NULL,NULL
"1522-5658","Journal of Religion and Society","Creighton University",0,"Philosophy. Psychology. Religion","http://www.creighton.edu/JRS/"
"1522-9602","Bulletin of Mathematical Biology","Springer",1,NULL,NULL
"1523-1739","Conservation Letters","Wiley",0,NULL,NULL
"1524-3303","Journal of Cotton Science","The Cotton Foundation",0,"Agriculture","http://www.cotton.org/journal/"
"1524-6345","Radical Pedagogy","International Consortium for the Advancement of Academic Publication, ICAAP",0,"Education","http://radicalpedagogy.icaap.org/"
"1525-1497","Journal of General Internal Medicine","Springer",1,NULL,NULL
"1525-1531","International Journal of Humanities and Cultural Studies","nan",0,NULL,""
"1525-9153","Amphibian & Reptile Conservation","Amphibian & Reptile Conservation",0,"Science","http://amphibian-reptile-conservation.org/"
"1526-9914","Journal of Applied Clinical Medical Physics","Self Owned - Non-Profit Society",0,"","http://aapm.onlinelibrary.wiley.com/hub/journal/10.1002/(ISSN)1526-9914/about/author-guidelines.html"
"1528-2686","Academy of Entrepreneurship Journal","Allied Academies",0,NULL,""
"1528-3658","Molecular Medicine","Feinstein Institute Press",0,"Medicine","http://www.molmed.org/"
"1529-8094","International Journal of Education and the Arts","Pennsylvania State University",0,"Fine Arts","http://www.ijea.org/"
"1529-9120","Gene Therapy& Molecular Biology","Gene Therapy Press",0,NULL,NULL
"1530-261X","Atmospheric Science Letters","Wiley",0,"Science",""
"1530-8677","Wireless Communications and Mobile Computing","Hindawi",0,NULL,NULL
"1530-9312","Computational Linguistics","MIT Press",0,"Language and Literature","http://www.mitpressjournals.org/loi/coli"
"1530-9932","AAPS PharmSciTech","Springer",0,"PHARMACOLOGY",""
"1531-135X","Cognitive, Affective, & Behavioral Neuroscience","Springer",1,NULL,NULL
"1531-5320","Psychonomic Bulletin & Review","Springer",1,NULL,NULL
"1531-5851","Journal of Fourier Analysis and Applications","Springer",1,NULL,NULL
"1531-586X","Transformation Groups","Springer",1,NULL,NULL
"1531-5878","Circuits, Systems, and Signal Processing","Springer",1,NULL,NULL
"1531-7714","Practical Assessment, Research & Evaluation","Practical Assessment, Research & Evaluation",0,"Education","http://pareonline.net/"
"1532-0545","INFORMS Transactions on Education","Institute for Operations Research and the Management Sciences (INFORMS)",0,"Education","http://www.informs.org/Journal/ITE"
"1532-1546","International Journal of Humanities and Cultural Studies","nan",0,NULL,""
"1532-2807","Pathology & Oncology Research","Springer",1,NULL,NULL
"1532-429X","Journal of Cardiovascular Magnetic Resonance","BioMed Central",0,"Medicine","http://www.jcmr-online.com/home"
"1532-4796","Annals of Behavioral Medicine","Springer",1,NULL,NULL
"1532-5946","Memory & Cognition","Springer",1,NULL,NULL
"1532-6268","Comparative and Functional Genomics","Hindawi Publishing Corporation ",0,"Science","https://www.hindawi.com/journals/CFG"
